Time(s),Ch 1  (V),Ch 2  (V),
0.000000,0.058000,0.530000
0.000200,0.050000,0.530000
0.000400,0.050000,0.530000
0.000600,0.048400,0.530000
0.000800,0.050000,0.530000
0.001000,0.051600,0.530000
0.001200,0.052400,0.530000
0.001400,0.051600,0.530000
0.001600,0.051600,0.530000
0.001800,0.054000,0.550000
0.002000,0.054000,0.530000
0.002200,0.054000,0.530000
0.002400,0.052400,0.550000
0.002600,0.052400,0.550000
0.002800,0.053200,0.550000
0.003000,0.053200,0.550000
0.003200,0.052400,0.550000
0.003400,0.053200,0.550000
0.003600,0.053200,0.550000
0.003800,0.053200,0.570000
0.004000,0.053200,0.550000
0.004200,0.054800,0.570000
0.004400,0.052400,0.570000
0.004600,0.054000,0.570000
0.004800,0.053200,0.570000
0.005000,0.051600,0.570000
0.005200,0.054000,0.570000
0.005400,0.052400,0.570000
0.005600,0.053200,0.570000
0.005800,0.054000,0.570000
0.006000,0.053200,0.570000
0.006200,0.054000,0.570000
0.006400,0.052400,0.570000
0.006600,0.054000,0.570000
0.006800,0.053200,0.590000
0.007000,0.054800,0.590000
0.007200,0.052400,0.590000
0.007400,0.051600,0.590000
0.007600,0.050800,0.590000
0.007800,0.050800,0.590000
0.008000,0.051600,0.590000
0.008200,0.050000,0.570000
0.008400,0.051600,0.590000
0.008600,0.050800,0.610000
0.008800,0.051600,0.590000
0.009000,0.051600,0.610000
0.009200,0.049200,0.610000
0.009400,0.051600,0.610000
0.009600,0.054800,0.610000
0.009800,0.054000,0.610000
0.010000,0.053200,0.610000
0.010200,0.053200,0.610000
0.010400,0.054800,0.630000
0.010600,0.054800,0.610000
0.010800,0.055600,0.630000
0.011000,0.054000,0.610000
0.011200,0.054000,0.610000
0.011400,0.054800,0.630000
0.011600,0.056400,0.630000
0.011800,0.057200,0.630000
0.012000,0.058000,0.630000
0.012200,0.059600,0.630000
0.012400,0.060400,0.630000
0.012600,0.055600,0.630000
0.012800,0.055600,0.630000
0.013000,0.058000,0.630000
0.013200,0.057200,0.650000
0.013400,0.060400,0.650000
0.013600,0.058800,0.630000
0.013800,0.062800,0.630000
0.014000,0.061200,0.670000
0.014200,0.062000,0.650000
0.014400,0.058000,0.650000
0.014600,0.056400,0.650000
0.014800,0.056400,0.650000
0.015000,0.062000,0.650000
0.015200,0.073200,0.650000
0.015400,0.063600,0.670000
0.015600,0.056400,0.670000
0.015800,0.058800,0.670000
0.016000,0.094000,0.670000
0.016200,0.074800,0.670000
0.016400,0.095600,0.670000
0.016600,0.119600,0.670000
0.016800,0.106000,0.670000
0.017000,0.058000,0.690000
0.017200,0.050800,0.670000
0.017400,0.050000,0.690000
0.017600,0.050000,0.690000
0.017800,0.050800,0.670000
0.018000,0.053200,0.690000
0.018200,0.053200,0.690000
0.018400,0.053200,0.690000
0.018600,0.053200,0.690000
0.018800,0.052400,0.690000
0.019000,0.052400,0.690000
0.019200,0.052400,0.710000
0.019400,0.052400,0.690000
0.019600,0.053200,0.710000
0.019800,0.053200,0.710000
0.020000,0.051600,0.710000
0.020200,0.054000,0.710000
0.020400,0.052400,0.710000
0.020600,0.052400,0.710000
0.020800,0.053200,0.690000
0.021000,0.054000,0.710000
0.021200,0.054000,0.710000
0.021400,0.052400,0.710000
0.021600,0.051600,0.710000
0.021800,0.052400,0.730000
0.022000,0.052400,0.710000
0.022200,0.052400,0.730000
0.022400,0.054000,0.730000
0.022600,0.054000,0.730000
0.022800,0.052400,0.730000
0.023000,0.054000,0.710000
0.023200,0.051600,0.730000
0.023400,0.054000,0.730000
0.023600,0.053200,0.730000
0.023800,0.052400,0.730000
0.024000,0.051600,0.730000
0.024200,0.050800,0.730000
0.024400,0.048400,0.730000
0.024600,0.050000,0.730000
0.024800,0.047600,0.750000
0.025000,0.049200,0.750000
0.025200,0.049200,0.750000
0.025400,0.050800,0.750000
0.025600,0.050000,0.750000
0.025800,0.048400,0.750000
0.026000,0.050000,0.770000
0.026200,0.052400,0.750000
0.026400,0.050000,0.770000
0.026600,0.055600,0.770000
0.026800,0.053200,0.770000
0.027000,0.053200,0.770000
0.027200,0.053200,0.770000
0.027400,0.053200,0.750000
0.027600,0.052400,0.770000
0.027800,0.054000,0.770000
0.028000,0.052400,0.770000
0.028200,0.054800,0.770000
0.028400,0.055600,0.770000
0.028600,0.058000,0.770000
0.028800,0.058000,0.770000
0.029000,0.057200,0.790000
0.029200,0.056400,0.790000
0.029400,0.055600,0.790000
0.029600,0.058000,0.770000
0.029800,0.054800,0.790000
0.030000,0.055600,0.770000
0.030200,0.055600,0.790000
0.030400,0.054000,0.790000
0.030600,0.054800,0.790000
0.030800,0.054800,0.790000
0.031000,0.055600,0.790000
0.031200,0.052400,0.790000
0.031400,0.054800,0.790000
0.031600,0.052400,0.810000
0.031800,0.054000,0.810000
0.032000,0.053200,0.810000
0.032200,0.053200,0.810000
0.032400,0.050800,0.810000
0.032600,0.050800,0.810000
0.032800,0.050800,0.810000
0.033000,0.049200,0.810000
0.033200,0.051600,0.830000
0.033400,0.051600,0.810000
0.033600,0.049200,0.830000
0.033800,0.048400,0.830000
0.034000,0.051600,0.810000
0.034200,0.051600,0.830000
0.034400,0.053200,0.830000
0.034600,0.055600,0.830000
0.034800,0.054000,0.830000
0.035000,0.051600,0.830000
0.035200,0.052400,0.830000
0.035400,0.053200,0.830000
0.035600,0.055600,0.830000
0.035800,0.057200,0.850000
0.036000,0.053200,0.850000
0.036200,0.057200,0.850000
0.036400,0.054000,0.830000
0.036600,0.054000,0.850000
0.036800,0.054000,0.850000
